"agency_id","agency_name","agency_url","agency_timezone","agency_lang","agency_phone"
202,"Bornholms Trafik","https://bat.dk","Europe/Berlin","da",""
203,"DSB","http://www.dsb.dk","Europe/Berlin","",""
204,"FYNBUS","https://fynbus.dk","Europe/Berlin","",""
206,"NT","https://www.nordjyllandstrafikselskab.dk","Europe/Berlin","",""
221,"Movia","https://www.moviatrafik.dk","Europe/Berlin","",""
266,"Flixbus","https://www.flixbus.dk","Europe/Berlin","",""
276,"Rejseplanen","https://www.rejseplanen.dk","Europe/Berlin","",""
281,"Midttrafik","https://www.midttrafik.dk","Europe/Berlin","",""
291,"Færgen","http://færgen.dk","Europe/Berlin","",""
301,"Mols-Linien","http://molslinjen.dk","Europe/Berlin","",""
306,"Arriva tog","http://www.mitarriva.dk","Europe/Berlin","",""
307,"DSB Øresund","http://dsb.dk","Europe/Berlin","",""
316,"Movia","https://www.lokaltog.dk","Europe/Berlin","",""
318,"DSB S-tog","https://www.dsb.dk","Europe/Berlin","",""
319,"Metroselskabet","https://m.dk","Europe/Berlin","",""
320,"Ærøfærgerne","https://aeroe-ferry.dk","Europe/Berlin","",""
321,"Johns Turistfart","https://johnsbus.dk","Europe/Berlin","",""
326,"Gråhundbus","http://graahundbus.dk","Europe/Berlin","",""
331,"Thyborøn-Agger Færgefart","https://svendborg-havn.dk/færger/","Europe/Berlin","",""
336,"Sydtrafik","https://www.sydtrafik.dk","Europe/Berlin","",""
351,"Scandlines","https://www.scandlines.dk","Europe/Berlin","",""
356,"Sporvejsmuseet Skjoldenæsholm","http://sporvejsmuseet.dk","Europe/Berlin","",""
381,"Öresundståg","http://dsb.dk","Europe/Berlin","",""
386,"Ærø Kommune","https://www.aeroekommune.dk/borger/flyt-til-aeroe/transport/paa-aeroe","Europe/Berlin","",""
391,"Samsø Bus","https://samsoebus.dk","Europe/Berlin","",""
396,"GoShuttle","https://www.goshuttle.dk","Europe/Berlin","",""
406,"Fanø Kommune","https://www.fanoe.dk/borger/faerge-bus-og-taxa/kollektiv-trafik-bus","Europe/Berlin","",""
411,"Rute700","https://www.rute700.dk","Europe/Berlin","",""
416,"Svendborg Havn, Færge- og Sundfart","https://www.svendborg-havn.dk/færger-fra-svendborg","Europe/Berlin","",""
422,"Færgefarten Orø-Holbæk","http://holbaek.dk/faerge","Europe/Berlin","",""
423,"Hundested-Rørvig Færgefart A/S","https://hundested-roervig.dk","Europe/Berlin","",""
424,"Grenaa-Anholt Færgefart","https://www.anholtfergen.dk","Europe/Berlin","",""
425,"ÆrøXpressen A/S","https://www.aeroexpressen.dk","Europe/Berlin","",""
426,"Sejerøbugtens Færger","https://www.kalundborg.dk/borger/Veje_teknin_og_miljø/Sejerøbugtens_Færger.aspx","Europe/Berlin","",""
427,"Ø-Færgen","https://oefaergen.fmk.dk","Europe/Berlin","",""
428,"Strynø Færgen","https://langelandkommune.dk/borger/havne-trafik-og-veje/strynoe-faergen","Europe/Berlin","",""
430,"Samsø Rederi","https://www.tilsamsoe.dk","Europe/Berlin","",""
441,"Thinggaard Express","https://www.expressbus.dk","Europe/Berlin","",""
