"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"25289_3",336,"475","",3,"","",""
"25204_3",336,"6a","",3,"","",""
"25199_3",336,"117","",3,"","",""
"25195_3",336,"129","",3,"","",""
"25194_3",336,"113","",3,"","",""
"25099_3",336,"2633","",3,"","",""
"25097_3",336,"2631","",3,"","",""
"25096_3",336,"2584","",3,"","",""
"25095_3",336,"2583","",3,"","",""
"25094_3",336,"2581","",3,"","",""
"25093_3",336,"2573","",3,"","",""
"25092_3",336,"2572","",3,"","",""
"25091_3",336,"2571","",3,"","",""
"25090_3",336,"2542","",3,"","",""
"25089_3",336,"2541","",3,"","",""
"25003_3",336,"876","",3,"","",""
"25002_3",336,"875","",3,"","",""
"25001_3",336,"873","",3,"","",""
"25000_3",336,"814","",3,"","",""
"24999_3",336,"811","",3,"","",""
"24979_3",336,"8","",3,"","",""
"24944_3",336,"511","",3,"","",""
"24899_3",336,"4U","",3,"","",""
"24399_3",336,"16","",3,"","",""
"23884_3",336,"457","",3,"","",""
"23883_3",336,"16","",3,"","",""
"23723_3",336,"281","",3,"","",""
"23688_3",336,"572","",3,"","",""
"23565_3",336,"18C","",3,"","",""
"23564_3",336,"18B","",3,"","",""
"23563_3",336,"18A","",3,"","",""
"23429_3",336,"9","",3,"","",""
"23428_3",336,"382","",3,"","",""
"23395_3",336,"7","",3,"","",""
"23393_3",336,"8C","",3,"","",""
"23392_3",336,"7C","",3,"","",""
"23391_3",336,"6C","",3,"","",""
"23389_3",336,"5C","",3,"","",""
"23388_3",336,"4B","",3,"","",""
"23387_3",336,"3B","",3,"","",""
"23385_3",336,"2A","",3,"","",""
"23383_3",336,"1A","",3,"","",""
"23378_3",336,"944X","",3,"","",""
"23377_3",336,"401","",3,"","",""
"23376_3",336,"248","",3,"","",""
"23375_3",336,"148","",3,"","",""
"23328_3",336,"187","",3,"","",""
"23325_3",336,"14","",3,"","",""
"23324_3",336,"12","",3,"","",""
"23323_3",336,"11","",3,"","",""
"23254_3",336,"373","",3,"","",""
"23253_3",336,"371","",3,"","",""
"23099_3",336,"252","",3,"","",""
"22837_3",336,"7","",3,"","",""
"22836_3",336,"5","",3,"","",""
"22835_3",336,"4","",3,"","",""
"22834_3",336,"282","",3,"","",""
"22833_3",336,"1","",3,"","",""
"22775_3",336,"900X","",3,"","",""
"22774_3",336,"9","",3,"","",""
"22773_3",336,"9","",3,"","",""
"22743_3",336,"8","",3,"","",""
"22742_3",336,"8","",3,"","",""
"22741_3",336,"8","",3,"","",""
"22740_3",336,"789","",3,"","",""
"22739_3",336,"788","",3,"","",""
"22738_3",336,"787","",3,"","",""
"22737_3",336,"786","",3,"","",""
"22736_3",336,"784","",3,"","",""
"22735_3",336,"782","",3,"","",""
"22734_3",336,"779","",3,"","",""
"22733_3",336,"777","",3,"","",""
"22732_3",336,"775","",3,"","",""
"22731_3",336,"774","",3,"","",""
"22730_3",336,"772","",3,"","",""
"22729_3",336,"771","",3,"","",""
"22728_3",336,"766","",3,"","",""
"22727_3",336,"763","",3,"","",""
"22726_3",336,"757","",3,"","",""
"22725_3",336,"756","",3,"","",""
"22724_3",336,"754","",3,"","",""
"22723_3",336,"752","",3,"","",""
"22721_3",336,"742","",3,"","",""
"22720_3",336,"741","",3,"","",""
"22719_3",336,"738","",3,"","",""
"22718_3",336,"737","",3,"","",""
"22717_3",336,"736","",3,"","",""
"22716_3",336,"735","",3,"","",""
"22715_3",336,"733","",3,"","",""
"22714_3",336,"726","",3,"","",""
"22713_3",336,"725","",3,"","",""
"22712_3",336,"723","",3,"","",""
"22711_3",336,"722","",3,"","",""
"22710_3",336,"721","",3,"","",""
"22709_3",336,"716","",3,"","",""
"22708_3",336,"713","",3,"","",""
"22707_3",336,"711","",3,"","",""
"22706_3",336,"710","",3,"","",""
"22704_3",336,"7","",3,"","",""
"22702_3",336,"7","",3,"","",""
"22700_3",336,"698","",3,"","",""
"22699_3",336,"697","",3,"","",""
"22698_3",336,"693","",3,"","",""
"22697_3",336,"691","",3,"","",""
"22696_3",336,"685","",3,"","",""
"22695_3",336,"682","",3,"","",""
"22694_3",336,"679","",3,"","",""
"22693_3",336,"678","",3,"","",""
"22692_3",336,"676","",3,"","",""
"22691_3",336,"675","",3,"","",""
"22690_3",336,"674","",3,"","",""
"22689_3",336,"673","",3,"","",""
"22688_3",336,"671","",3,"","",""
"22687_3",336,"670","",3,"","",""
"22686_3",336,"665","",3,"","",""
"22685_3",336,"662","",3,"","",""
"22684_3",336,"661","",3,"","",""
"22683_3",336,"656","",3,"","",""
"22682_3",336,"655","",3,"","",""
"22681_3",336,"654","",3,"","",""
"22680_3",336,"645","",3,"","",""
"22679_3",336,"642","",3,"","",""
"22678_3",336,"641","",3,"","",""
"22677_3",336,"636","",3,"","",""
"22676_3",336,"635","",3,"","",""
"22675_3",336,"634","",3,"","",""
"22674_3",336,"633","",3,"","",""
"22673_3",336,"632","",3,"","",""
"22672_3",336,"631","",3,"","",""
"22670_3",336,"627","",3,"","",""
"22669_3",336,"626","",3,"","",""
"22668_3",336,"620","",3,"","",""
"22667_3",336,"619","",3,"","",""
"22666_3",336,"6","",3,"","",""
"22664_3",336,"6","",3,"","",""
"22663_3",336,"6","",3,"","",""
"22662_3",336,"6","",3,"","",""
"22660_3",336,"592","",3,"","",""
"22659_3",336,"591","",3,"","",""
"22658_3",336,"577","",3,"","",""
"22657_3",336,"576","",3,"","",""
"22656_3",336,"575","",3,"","",""
"22655_3",336,"574","",3,"","",""
"22654_3",336,"573","",3,"","",""
"22653_3",336,"567","",3,"","",""
"22652_3",336,"566","",3,"","",""
"22651_3",336,"565","",3,"","",""
"22650_3",336,"564","",3,"","",""
"22649_3",336,"563","",3,"","",""
"22648_3",336,"562","",3,"","",""
"22647_3",336,"561","",3,"","",""
"22645_3",336,"541","",3,"","",""
"22643_3",336,"538","",3,"","",""
"22642_3",336,"537","",3,"","",""
"22641_3",336,"534","",3,"","",""
"22640_3",336,"533","",3,"","",""
"22639_3",336,"532","",3,"","",""
"22637_3",336,"525","",3,"","",""
"22636_3",336,"524","",3,"","",""
"22633_3",336,"510","",3,"","",""
"22632_3",336,"5","",3,"","",""
"22631_3",336,"5","",3,"","",""
"22629_3",336,"5","",3,"","",""
