"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000461011300,000461011300,2,240,,,,
000461011300,000461007000,2,180,,,,
000008600719,000008600719,2,240,,,,
000008600719,000000036805,2,240,,,,
000008600719,000000036806,2,240,,,,
000008600719,000000036877,2,240,,,,
000008600719,000000043282,2,240,,,,
000008600719,000000043284,2,240,,,,
000008600719,000000043285,2,300,,,,
000008600719,000000043286,2,300,,,,
000008600719,000000043287,2,300,,,,
000008600719,000000043288,2,300,,,,
000008600719,000000043298,2,300,,,,
000008600719,000000043300,2,300,,,,
000008600719,000000043301,2,240,,,,
000008600719,000000043302,2,240,,,,
000008600719,000008650719,2,300,,,,
000008600719,000008651719,2,300,,,,
000008600716,000000004294,2,180,,,,
000008600716,000000004328,2,180,,,,
000008600716,000000010698,2,180,,,,
000008600716,000000010699,2,240,,,,
000008600717,000008600717,2,120,,,,
000008600717,000000036652,2,120,,,,
000008600717,000000036653,2,120,,,,
000008600717,000000038915,2,120,,,,
000008600717,000000038916,2,120,,,,
000008600717,000000050131,2,180,,,,
000008600717,000000050130,2,180,,,,
000008600714,000008600714,2,120,,,,
000008600714,000000007400,2,180,,,,
000008600714,000000007401,2,180,,,,
000008600714,000000007403,2,180,,,,
000008600714,000000007404,2,240,,,,
000008600714,000000009290,2,180,,,,
000008600714,000000009327,2,180,,,,
000008600714,000000009538,2,180,,,,
000008600714,000000009211,2,180,,,,
000008600714,000000051894,2,180,,,,
000008600714,000008651714,2,180,,,,
000008600714,000008650714,2,180,,,,
000008600714,000000052681,2,180,,,,
000008600715,000000004355,2,180,,,,
000008600715,000000028286,2,120,,,,
000008600712,000008600712,2,120,,,,
000008600712,000000009197,2,120,,,,
000008600712,000000009580,2,180,,,,
000008600712,000000027683,2,180,,,,
000008600712,000000028022,2,180,,,,
000008600712,000008651712,2,180,,,,
000008600712,000008650712,2,180,,,,
000008600793,000000040621,2,780,,,,
000008600793,000000040622,2,840,,,,
000008600793,000008650793,2,300,,,,
000008600793,000008651793,2,300,,,,
000008600792,000008600792,2,240,,,,
000008600792,000000002271,2,240,,,,
000008600792,000000030800,2,180,,,,
000008600792,000000010411,2,180,,,,
000008600792,000000050295,2,240,,,,
000008600792,000008651792,2,180,,,,
000008600792,000008650792,2,180,,,,
000008600792,000000052884,2,360,,,,
000008600792,000000052885,2,360,,,,
000008600710,000008600710,2,120,,,,
000008600710,000000002929,2,120,,,,
000008600710,000008651710,2,120,,,,
000008600710,000008650710,2,120,,,,
000008600791,000008600791,2,120,,,,
000008600791,000000005033,2,420,,,,
000008600791,000000005151,2,420,,,,
000008600791,000008651791,2,420,,,,
000008600791,000008650791,2,420,,,,
000008600711,000008600711,2,120,,,,
000008600711,000000009465,2,240,,,,
000008600711,000000009591,2,240,,,,
000008600711,000008651711,2,240,,,,
000008600711,000008650711,2,240,,,,
000008600711,000000052922,2,300,,,,
000008600790,000008600790,2,120,,,,
000008600790,000000005166,2,180,,,,
000008600790,000000005398,2,180,,,,
000008600790,000000005038,2,180,,,,
000008600790,000000005145,2,180,,,,
000008600790,000000009685,2,180,,,,
000008600790,000000010371,2,180,,,,
000008600790,000008651790,2,180,,,,
000008600790,000008650790,2,180,,,,
000007400003,000007400003,2,600,,,,
000008600646,000008600646,2,240,,,,
000008600646,000008603307,2,240,,,,
000008600646,000000002157,2,420,,,,
000008600646,000000006584,2,240,,,,
000008600646,000000027532,2,180,,,,
000008600646,000000028143,2,360,,,,
000008600646,000000028329,2,180,,,,
000008600646,000000050461,2,120,,,,
000008600646,000000050460,2,300,,,,
000008600646,000000052615,2,240,,,,
000008600646,000000054414,2,300,,,,
000008600644,000008600644,2,240,,,,
000008600644,000000001369,2,360,,,,
000008600644,000000001406,2,420,,,,
000008600644,000000006524,2,300,,,,
000008600644,000000006660,2,240,,,,
000008600645,000008600645,2,120,,,,
000008600645,000000003080,2,300,,,,
000008600645,000000001151,2,300,,,,
000008600645,000000001163,2,120,,,,
000008600645,000000001164,2,300,,,,
000008600645,000000001295,2,180,,,,
000008600645,000000001421,2,120,,,,
000008600645,000000001646,2,240,,,,
000008600645,000000003022,2,300,,,,
000008600642,000008600642,2,120,,,,
000008600642,000000047380,2,300,,,,
000008600642,000000001989,2,240,,,,
000008600642,000000002151,2,240,,,,
000008600642,000000052657,2,240,,,,
000008600642,000008603339,2,120,,,,
000008600642,000000053198,2,240,,,,
000008600640,000008600640,2,120,,,,
000008600640,000000000236,2,360,,,,
000008600640,000000003030,2,180,,,,
000008600640,000000003031,2,300,,,,
000008600640,000000003073,2,180,,,,
000008600641,000008600641,2,120,,,,
000008600641,000000000688,2,180,,,,
000008600641,000000000705,2,120,,,,
000008601627,000008601627,2,120,,,,
000008601627,000000004578,2,120,,,,
000008601627,000000004585,2,180,,,,
000008601625,000008601625,2,120,,,,
000008601625,000000003420,2,360,,,,
000008601625,000000003449,2,360,,,,
000008601623,000008601623,2,120,,,,
000008601623,000008601606,2,900,,,,
000008601623,000000003397,2,480,,,,
000008601623,000000003398,2,180,,,,
000008601623,000000003468,2,180,,,,
000008601623,000000003469,2,480,,,,
000008601623,000000003470,2,660,,,,
000008601620,000008601620,2,120,,,,
000008601620,000000003422,2,360,,,,
000008601620,000000003447,2,420,,,,
000008601621,000008601621,2,120,,,,
000008601621,000000003263,2,180,,,,
000008601621,000000004641,2,180,,,,
000008603527,000008603527,2,120,,,,
000008603527,000000039371,2,120,,,,
000008603525,000008603525,2,120,,,,
000008603525,000000039204,2,120,,,,
000008603525,000000039205,2,120,,,,
000008603525,000000054168,2,120,,,,
000008603525,000000054169,2,120,,,,
000008600508,000008600508,2,240,,,,
000008600508,000008650508,2,300,,,,
000008600508,000008651508,2,300,,,,
000008600509,000008600509,2,240,,,,
000008600509,000008650509,2,300,,,,
000008600509,000008651509,2,300,,,,
000008600506,000008600506,2,240,,,,
000008600506,000420188800,2,120,,,,
000008600506,000420236500,2,120,,,,
000008600506,000008650506,2,300,,,,
000008600506,000008651506,2,300,,,,
000008600507,000008600507,2,240,,,,
000008600507,000420606000,2,120,,,,
000008600507,000008650507,2,300,,,,
000008600507,000008651507,2,300,,,,
000008600504,000008600504,2,240,,,,
000008600504,000008650504,2,300,,,,
000008600504,000008651504,2,300,,,,
000008600505,000008600505,2,240,,,,
000008600505,000410507000,2,60,,,,
000008600505,000008650505,2,300,,,,
000008600505,000008651505,2,300,,,,
000008600502,000008600502,2,240,,,,
000008600502,000008650502,2,300,,,,
000008600502,000008651502,2,300,,,,
000008600503,000008600503,2,240,,,,
000008600503,000410611700,2,180,,,,
000008600503,000008650503,2,300,,,,
000008600503,000008651503,2,300,,,,
000008600501,000008600501,2,240,,,,
000008600501,000410187400,2,60,,,,
000008600501,000410414500,2,60,,,,
000008600501,000008650501,2,300,,,,
000008600501,000008651501,2,300,,,,
000008601824,000008601824,2,300,,,,
000008600079,000008600079,2,300,,,,
000008600079,000607302401,2,300,,,,
000008600079,000607302402,2,300,,,,
000008600079,000008650079,2,480,,,,
000008600079,000008651079,2,480,,,,
000008600076,000008600076,2,120,,,,
000008600076,000603340401,2,300,,,,
000008600076,000008650076,2,300,,,,
000008600076,000008651076,2,300,,,,
000008600077,000008600077,2,120,,,,
000008600077,000603340101,2,300,,,,
000008600077,000008650077,2,300,,,,
000008600077,000008651077,2,300,,,,
000008600073,000008600073,2,360,,,,
000008600073,000631200101,2,240,,,,
000008600073,000631200102,2,240,,,,
000008600073,000631200103,2,240,,,,
000008600073,000631200104,2,240,,,,
000008600073,000631200105,2,240,,,,
000008600073,000631200106,2,240,,,,
000008600073,000631200107,2,240,,,,
000008600073,000008650073,2,360,,,,
000008600073,000008651073,2,360,,,,
000008600071,000008600071,2,120,,,,
000008600071,000613932001,2,240,,,,
000008600071,000008650071,2,300,,,,
000008600071,000008651071,2,300,,,,
000008601053,000008601053,2,120,,,,
000008600436,000008600436,2,360,,,,
000008600436,000571500201,2,300,,,,
